#NAME,1,2,3,4,5,6,7,8,9,10,30,31,32,33,34,50,53,54,55,56,BI003-01,BI003-02,BI003-03,BI003-04,BI003-05,BI003-11,BI003-12,BI003-13,BI003-14,BI003-15,BI003-16,BI003-17,BI003-18,BI003-22,BI003-23,BI003-24,BI003-25,BI003-26
EC:1.1.1.1,43161.48,118142.39,146267.64,140594.94,134773.82,96024.27,46687.49,140523.8,32883.32,32346.3,103236.21,100872.91,80512.34,75527.16,61679.26,94508.3,138537.11,170285.12,145470.91,868532.7,169488.53,178190.3,174219.1,159129.78,160481.43,231330.92,192772.25,373721.88,228165.15,173099.77,324309.4,166362,188970.03,206692.18,218971.45,194923.4,157262.85,151638
EC:1.1.1.100,45053.6,161647.87,208204.16,198363.04,169836.06,111813.49,62365.55,160020.35,75999.22,61855.59,104098.34,141768.2,142900.04,131489.81,82740.46,165236.47,117682.23,207511.31,134264.77,756608.42,271019.21,294997.37,352574.56,239349.27,347232.77,198883.98,228131.93,311930.37,229796.96,321784.18,429451.21,317186.54,350696.46,259628.3,248242.56,218305.39,261130.36,207471
EC:1.1.1.103,140.62,7547.5,9015.82,4022.73,605.08,1303.38,4022.88,6245.4,5119.76,2850.35,2244.8,3587.45,3191.5,3479.3,2074.3,4777.57,2284.47,1455.09,3443.81,319.06,4857,14796.58,25789.75,6771,25354.5,4716.17,13214.5,9204.58,2398.75,37245.09,15133.16,21899.42,22837.91,14969.29,12355.17,10653,4405.5,12354.5
EC:1.1.1.105,0,0,33.67,0,0,0,0,0,7,0,8,118,0,0,0,0,0,0,52,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC:1.1.1.108,141,1635,2542.67,570.8,37.5,192,124,790,242,97.6,619.8,1919,663,640,503,1343.6,421,929.4,699,74,370.67,1261.33,1529,27.67,1571.67,167,184,463,242,316.67,296.33,622.67,589.33,567.67,380.67,272,302,453
EC:1.1.1.11,1.62,4.75,46.12,111.68,16.25,29.38,25.38,1,12.26,4.1,44.8,1.45,10,15.55,38.47,37.24,249.89,5.09,15.64,33.56,0,0,0,0,0,0,0,0,0,0,0,4,0,10.62,0,0,1,0
EC:1.1.1.122,154.62,4.75,640.29,1895.93,243.25,139.38,97.38,15,72.26,457.1,188.47,2,61,17.67,94.21,56.6,190.95,56,39.17,79.88,50,52.66,28,47.34,209.84,0,42,577,9,2376.59,3472.24,1817.59,120.91,708.46,1028.34,16,85,18
EC:1.1.1.125,301.62,1168.33,2532.82,2367.23,246.25,949.88,308.55,1547.4,1486.26,1157.35,1392.8,2384.45,1327,816.3,521.47,3913.24,2319.64,916.09,470.14,174.06,533.5,2836.58,3271.75,873.67,2521.67,442.5,1036,1623.25,1757.75,5789.42,6421.83,5698.92,4613.58,3248.79,2913.67,961.5,1384.5,1461
EC:1.1.1.130,116,5666.75,5197.7,3091.83,444,651.5,2224,4849.4,4441.5,1904.25,1006.5,1280.83,1326.17,1444.75,1497,3980.5,1522.25,905.5,840,22,4376,11830.75,24986.25,5091.5,23965.5,2500.5,2618.5,2409.75,1574.25,16798.25,13100,17693.75,19121.25,12033.5,9577.5,9094.5,2827.5,4279
EC:1.1.1.132,137,0,0,59,37.5,12,0,0,13,36,3,0,0,5,4,0,0,1.4,1,4,0,0,0,0,0,0,0,0,0,0,13,5.5,0,0,3,0,0,0
EC:1.1.1.133,11981.62,39447.31,80916.95,63819.43,59544.33,73665.47,32904.91,93379.28,33573.21,26552.79,60152.42,64803.19,72687.94,71800.05,52598.73,57181.42,40058.22,77479.14,45027.15,166987.33,100701.35,113206.81,153428.08,115112.25,148501.92,77969.84,100144.93,140915.66,59282.91,117495.99,116454.33,135327.38,142311.99,108197.63,96351.8,89139.56,98632.19,84311.5
EC:1.1.1.136,71,1488.66,1300.17,292.17,106.33,255.34,205.01,549.33,303.33,425.67,1901.17,2794.5,1388,927,621.5,944.17,799,866.5,1088,629.34,1088.34,5197.49,1616.17,727.84,6189.01,1284,1836.34,1540.5,684.83,2610.33,1035,1420.67,2703.99,3030.51,1444.67,836.16,2905.67,685.5
EC:1.1.1.137,849,452,7315.67,292.38,392,310,107,0,44,0,0,0,22,60,24,48,205,31,22,1532,0,0,0,0,60,8,0,62,34,3072,2184,48,318,48,34,0,92,0
EC:1.1.1.14,1267,57323.49,62533.17,21328.97,4665,12923.17,23201.68,34934.33,22040.5,16844.67,25308.66,43734.33,36708.83,35740.83,16580.33,49549.33,16471.5,44251,31547.5,2978.17,30282.01,83208.15,103803.5,22255.67,108040.84,29379.17,34724.84,67949.33,15716.33,113253.17,46264.83,85286.34,115064.32,80178.01,72523.17,49977.49,71653.18,84960.33
EC:1.1.1.140,1.62,270.25,33.52,82.88,30.25,60.38,46.38,13.8,1.26,9,2,0,8,6.5,5.38,5,240.12,101,50,2.38,27,54.5,23.5,36,152,21,24,552.5,11.5,2424.5,3404.5,1753.5,122.5,619.62,712,17,80,18
EC:1.1.1.145,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,7,0,0,0,0
EC:1.1.1.157,5055.11,33830.24,59692.66,18594.41,7879.16,11385.56,7504.32,26733.33,13240.85,9754.62,24681.78,46756.25,26542.66,30675.1,19166.87,43990.95,33750.26,56654.1,18394.6,65183.56,38884.18,68886.65,68412.5,18858.34,51457.01,23701,20869.34,70259.5,14719.08,51206.25,96306.81,39699.51,58603.16,56533.87,54334.17,27992.74,53105.26,27208
EC:1.1.1.159,78.75,7416,7941.45,1798.5,1545.5,2019.25,3207.5,4903.4,4864,2850,4807,7779.75,4851.5,6666.25,2458.25,2947.25,2151.75,1399,3443.75,17654.25,5841,19027,11937,1450,7326.5,6624.5,2143,7325,2037.75,14270.5,11013.75,9075.75,18301.25,12030,9229.5,6558.75,9343.75,14260.5
EC:1.1.1.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,46,0,0,0,44,31,26,0
EC:1.1.1.169,7734.49,36889.16,57051.56,42085.96,39136.9,24333.01,18792.85,38910.6,26645.58,17647.15,33654.37,56337.14,32222.21,30915.02,35658.45,49973.76,38016.19,57630.48,28633.08,205702.25,72973.84,95472.5,120686.5,38862.83,112653.83,30823.67,51479.5,81137.83,22475.25,104734.17,144118.41,90539.45,118793.08,87500.74,61725.8,48204.25,71625.25,47525
EC:1.1.1.17,10780.62,18343.83,16003.19,25619.76,33541.25,569.88,344.55,691.6,342.06,515.75,166,296.45,579.2,234.8,288.07,1829.64,7610.64,10296.09,21585.64,178375.56,8378.5,6406.25,4447.95,21848,3507,32798.9,32689,15901.65,62725.15,8034.25,11034.5,14203.55,3879.25,5481.12,17966.8,23390.5,8206.5,15335
EC:1.1.1.173,146,0,258,1583.3,71,45,18,0,13,43.6,54.8,2,5,7.5,37.5,20.6,156,12,7.5,35.5,1,2.33,0,1.67,11.67,0,0,29,0,191.17,212.33,112.67,11.33,29.67,24.67,0,0,0
EC:1.1.1.18,159.62,4272.58,1159.49,625.64,231.25,271.88,348.05,572.2,228.82,367.3,294.57,593.83,417.37,767.17,219.31,465.3,339.45,364.5,384.67,18796.88,656.5,954.49,1029.5,983.51,1537.51,527,570.5,956.5,437.5,1699.01,831.32,1830.21,4082.99,881.63,2353.31,2372,988,581
EC:1.1.1.193,8682.87,27063.57,40556.13,45839.83,39290.41,34090.3,12764.91,29392.15,17082.91,14181.52,12525.46,21190.86,31050.41,30553.47,17829.63,28301.82,19029.8,43348.74,25857.36,59572.28,64373.68,52198.07,76589.83,75719.75,90238.75,27683.84,56174.09,50075.91,40925.33,76448.58,71544.83,91916.76,80321.24,49681.46,53791.17,39068.07,44082.43,33094.75
EC:1.1.1.202,893,2940,7460,1196,1428,138,146,65,193,156,245,796,429,234,153,4723,17755,9624,4522,4607,3353,5306,2397,5796,1154,7184,6433,33515,1248,1454,20823,2188.5,1588,15440.5,12407,4728,4064,3960
EC:1.1.1.203,167,0,278.33,548.9,65,73,38,1,45,170.8,105.07,2,50,13.17,49.83,69.8,220.33,41,43.17,63.17,25,26.33,14,23.67,95.67,0,18,259,0,1097.17,1600.16,808.67,51.33,332.67,459.67,8,38,9
EC:1.1.1.205,21047.12,58730.82,92536.21,84927.01,88714.08,70992.55,34549.52,92454.85,26634.35,23717.27,77575.13,92593.61,69493.61,63474.14,63245.81,54564.57,61190.63,78091.74,85248.78,446733.03,120726.02,136374.82,129478.28,125951.75,124522.25,114931.24,117342.59,193248.56,112928.73,119950.33,150757.41,125084.56,131965.74,110300.96,118182.97,107271.82,103691.68,93860.25
